PicoScope 5000A - Channel A Data
================================
Samples: 10000
Timebase: 128 (Sample interval: 1008 ns)
Range: 2V, DC coupled

Sample	Time(ns)	ADC	mV
1055	1063440	-14732	-906
1056	1064448	-14732	-906
1057	1065456	-14154	-870
1058	1066464	-14443	-888
1059	1067472	-14443	-888
1060	1068480	-14154	-870
1061	1069488	-14443	-888
1062	1070496	-14443	-888
1063	1071504	-14443	-888
1064	1072512	-14154	-870
1065	1073520	-14154	-870
1066	1074528	-14443	-888
1067	1075536	-14443	-888
1068	1076544	-14443	-888
1069	1077552	-14154	-870
1070	1078560	-14443	-888
1071	1079568	-14154	-870
1072	1080576	-14154	-870
1073	1081584	-14154	-870
1074	1082592	-14154	-870
1075	1083600	-13865	-852
1076	1084608	-14154	-870
1077	1085616	-14154	-870
1078	1086624	-14154	-870
1079	1087632	-14154	-870
1080	1088640	-14154	-870
1081	1089648	-14154	-870
1082	1090656	-14154	-870
1083	1091664	-14154	-870
1084	1092672	-14154	-870
1085	1093680	-14154	-870
1086	1094688	-14154	-870
1087	1095696	-14154	-870
1088	1096704	-13865	-852
1089	1097712	-14154	-870
1090	1098720	-13865	-852
1091	1099728	-13576	-835
1092	1100736	-14154	-870
1093	1101744	-13865	-852
1094	1102752	-13576	-835
1095	1103760	-13576	-835
1096	1104768	-13865	-852
1097	1105776	-13865	-852
1098	1106784	-13576	-835
1099	1107792	-13576	-835
1100	1108800	-13576	-835
1101	1109808	-13576	-835
1102	1110816	-13576	-835
1103	1111824	-13576	-835
1104	1112832	-13576	-835
1105	1113840	-13576	-835
1106	1114848	-13576	-835
1107	1115856	-13576	-835
1108	1116864	-13287	-817
1109	1117872	-12999	-799
1110	1118880	-13287	-817
1111	1119888	-13287	-817
1112	1120896	-13287	-817
1113	1121904	-12999	-799
1114	1122912	-13287	-817
1115	1123920	-12999	-799
1116	1124928	-13287	-817
1117	1125936	-12999	-799
1118	1126944	-12999	-799
1119	1127952	-12999	-799
1120	1128960	-13287	-817
1121	1129968	-12999	-799
1122	1130976	-12710	-781
1123	1131984	-12710	-781
1124	1132992	-12710	-781
1125	1134000	-12710	-781
1126	1135008	-12421	-764
1127	1136016	-12421	-764
1128	1137024	-12710	-781
1129	1138032	-12132	-746
1130	1139040	-12421	-764
1131	1140048	-12132	-746
1132	1141056	-12132	-746
1133	1142064	-12132	-746
1134	1143072	-12421	-764
1135	1144080	-12132	-746
1136	1145088	-12132	-746
1137	1146096	-12132	-746
1138	1147104	-12132	-746
1139	1148112	-12132	-746
1140	1149120	-12132	-746
1141	1150128	-12132	-746
1142	1151136	-11843	-728
1143	1152144	-11843	-728
1144	1153152	-11554	-710
1145	1154160	-11554	-710
1146	1155168	-11265	-692
1147	1156176	-11843	-728
1148	1157184	-11554	-710
1149	1158192	-11554	-710
1150	1159200	-11554	-710
1151	1160208	-11554	-710
1152	1161216	-11265	-692
1153	1162224	-11554	-710
1154	1163232	-11265	-692
1155	1164240	-10976	-675
1156	1165248	-11265	-692
1157	1166256	-11265	-692
1158	1167264	-10976	-675
1159	1168272	-10976	-675
1160	1169280	-10976	-675
1161	1170288	-10976	-675
1162	1171296	-10399	-639
1163	1172304	-10688	-657
1164	1173312	-10688	-657
1165	1174320	-10688	-657
1166	1175328	-10688	-657
1167	1176336	-10688	-657
1168	1177344	-10399	-639
1169	1178352	-10399	-639
1170	1179360	-10399	-639
1171	1180368	-10399	-639
1172	1181376	-10399	-639
1173	1182384	-9821	-604
1174	1183392	-10110	-621
1175	1184400	-9821	-604
1176	1185408	-9821	-604
1177	1186416	-9821	-604
1178	1187424	-9821	-604
1179	1188432	-9821	-604
1180	1189440	-9532	-586
1181	1190448	-9532	-586
1182	1191456	-9821	-604
1183	1192464	-9532	-586
1184	1193472	-9532	-586
1185	1194480	-9243	-568
1186	1195488	-8954	-550
1187	1196496	-9532	-586
